"Name","Debut","Final","Position","Height","Weight","Birthday","School","HOF","Active","G","PTS","TRB","AST","FG.","FG3.","FT.","eFG.","PER","WS","RowNumber"
"Alaa Abdelnaby",1991,1995,"['Forward', 'Center']",82,240,"June 24, 1968","['Duke']","False","False",256,5.7,3.3,0.3,50.2,0,70.1,50.2,13,4.8,1
"Zaid Abdul-Aziz",1969,1978,"['Center', 'Forward']",81,235,"April 7, 1946","['Iowa State']","False","False",505,9,8,1.2,42.8,NA,72.8,NA,15.1,17.5,2
"Kareem Abdul-Jabbar",1970,1989,"['Center']",86,225,"April 16, 1947","['UCLA']","True","False",1560,24.6,11.2,3.6,55.9,5.6,72.1,55.9,24.6,273.4,3
"Mahmoud Abdul-Rauf",1991,2001,"['Guard']",73,162,"March 9, 1969","['LSU']","False","False",586,14.6,1.9,3.5,44.2,35.4,90.5,47.2,15.4,25.2,4
"Tariq Abdul-Wahad",1998,2003,"['Forward']",78,223,"November 3, 1974","['Michigan', ' San Jose State']","False","False",236,7.8,3.3,1.1,41.7,23.7,70.3,42.2,11.4,3.5,5
"Shareef Abdur-Rahim",1997,2008,"['Forward']",81,225,"December 11, 1976","['California']","False","False",830,18.1,7.5,2.5,47.2,29.7,81,47.9,19,71.2,6
"Tom Abernethy",1977,1981,"['Forward']",79,220,"May 6, 1954","['Indiana']","False","False",319,5.6,3.2,1.2,49.2,0,74.7,49.2,12.9,13.4,7
"Forest Able",1957,1957,"['Guard']",75,180,"July 27, 1932","['Western Kentucky']","False","False",1,0,1,1,0,NA,NA,NA,-41.5,0,8
"John Abramovic",1947,1948,"['Forward']",75,195,"February 9, 1919","['Salem University']","False","False",56,9.5,NA,0.7,23.7,NA,68.6,NA,NA,-1.9,9
"Álex Abrines",2017,2019,"['Guard', 'Forward']",78,200,"August 1, 1993","","False","False",174,5.3,1.4,0.5,38.7,36.8,88,52.5,8.8,5,10
"Precious Achiuwa",2021,2025,"['Forward']",80,225,"September 19, 1999","['Memphis']","False","True",320,7.6,5.7,1,48.4,30.4,60.6,51.4,14,11.8,11
"Alex Acker",2006,2009,"['Guard']",77,185,"January 21, 1983","['Pepperdine']","False","False",30,2.7,1,0.5,37,32,50,41.3,8.5,-0.2,12
"Don Ackerman",1954,1954,"['Guard']",72,183,"September 4, 1930","['Long Island University']","False","False",28,1.5,0.5,0.8,22.2,NA,53.6,NA,1,-0.6,13
"Mark Acres",1988,1993,"['Forward', 'Center']",83,220,"November 15, 1962","['Oral Roberts']","False","False",375,3.6,4.1,0.5,50.6,53.8,66.5,50.9,9,9.3,14
"Bud Acton",1968,1968,"['Forward']",78,210,"January 11, 1942","['Hillsdale College']","False","False",23,3.3,2,0.5,39.2,NA,65.5,NA,9.5,0.1,15
"Quincy Acy",2013,2019,"['Forward', 'Center']",79,240,"October 6, 1990","['Baylor']","False","False",337,4.9,3.5,0.6,44.4,35,75.9,51.3,11.2,8.7,16
